TIME;YEAR;QUARTER;GVA
1995-Q1;1995;1;68743.1
1995-Q2;1995;2;73953.2
1995-Q3;1995;3;78749.9
1995-Q4;1995;4;84237.1
1996-Q1;1996;1;84954.2
1996-Q2;1996;2;91395.4
1996-Q3;1996;3;96068.9
1996-Q4;1996;4;109196
1997-Q1;1997;1;103311.4
1997-Q2;1997;2;111297.5
1997-Q3;1997;3;115939.7
1997-Q4;1997;4;132156.5
1998-Q1;1998;1;121689.8
1998-Q2;1998;2;129131.1
1998-Q3;1998;3;135117.9
1998-Q4;1998;4;154674.3
1999-Q1;1999;1;130105.4
1999-Q2;1999;2;141362.5
1999-Q3;1999;3;147875.8
1999-Q4;1999;4;176650
2000-Q1;2000;1;150188.2
2000-Q2;2000;2;159789.7
2000-Q3;2000;3;165655.1
2000-Q4;2000;4;191874.4
2001-Q1;2001;1;161444.9
2001-Q2;2001;2;169730.3
2001-Q3;2001;3;172356.2
2001-Q4;2001;4;195044.6
2002-Q1;2002;1;169021.1
2002-Q2;2002;2;173442.8
2002-Q3;2002;3;177919.5
2002-Q4;2002;4;198728.4
2003-Q1;2003;1;172663.5
2003-Q2;2003;2;183454.2
2003-Q3;2003;3;183902.8
2003-Q4;2003;4;209265.7
2004-Q1;2004;1;187771.2
2004-Q2;2004;2;205158.9
2004-Q3;2004;3;202256.8
2004-Q4;2004;4;234379
2005-Q1;2005;1;206156.4
2005-Q2;2005;2;213849.8
2005-Q3;2005;3;214178.1
2005-Q4;2005;4;239041.7
2006-Q1;2006;1;219356.9
2006-Q2;2006;2;226107.1
2006-Q3;2006;3;230218.1
2006-Q4;2006;4;265540.3
2007-Q1;2007;1;242848.3
2007-Q2;2007;2;249025
2007-Q3;2007;3;251557.2
2007-Q4;2007;4;294929.5
2008-Q1;2008;1;266404.9
2008-Q2;2008;2;272572.1
2008-Q3;2008;3;274052.3
2008-Q4;2008;4;313371.6
2009-Q1;2009;1;291329.2
2009-Q2;2009;2;292509.4
2009-Q3;2009;3;295294
2009-Q4;2009;4;342328.8
2010-Q1;2010;1;293532.1
2010-Q2;2010;2;306180.5
2010-Q3;2010;3;310619.9
2010-Q4;2010;4;357495.4
2011-Q1;2011;1;317049.9
2011-Q2;2011;2;329722.2
2011-Q3;2011;3;336299.9
2011-Q4;2011;4;391006.1
2012-Q1;2012;1;336547.1
2012-Q2;2012;2;351206.9
2012-Q3;2012;3;352593.5
2012-Q4;2012;4;396126.2
2013-Q1;2013;1;339294.3
2013-Q2;2013;2;351319.9
2013-Q3;2013;3;353491.8
2013-Q4;2013;4;407683.5
2014-Q1;2014;1;353386.1
2014-Q2;2014;2;366725
2014-Q3;2014;3;373465.9
2014-Q4;2014;4;421844.4
2015-Q1;2015;1;371802.8
2015-Q2;2015;2;386531.9
2015-Q3;2015;3;391631.1
2015-Q4;2015;4;456514.4
2016-Q1;2016;1;387565.7
2016-Q2;2016;2;397645.3
2016-Q3;2016;3;400700.8
2016-Q4;2016;4;462848.6
2017-Q1;2017;1;411240.3
2017-Q2;2017;2;421998
2017-Q3;2017;3;430320.3
2017-Q4;2017;4;490967.8
2018-Q1;2018;1;439707.9
2018-Q2;2018;2;452196.1
2018-Q3;2018;3;464846.4
2018-Q4;2018;4;526763.7
2019-Q1;2019;1;474780.8
2019-Q2;2019;2;489456.2
2019-Q3;2019;3;503638.8
2019-Q4;2019;4;568995.7
2020-Q1;2020;1;509709.5
2020-Q2;2020;2;473153.3
2020-Q3;2020;3;517385.4
2020-Q4;2020;4;584580.9
2021-Q1;2021;1;531027.4
2021-Q2;2021;2;548448.7
2021-Q3;2021;3;585019.9
2021-Q4;2021;4;655913.7
2022-Q1;2022;1;622993.8
2022-Q2;2022;2;647440.7
2022-Q3;2022;3;702235
2022-Q4;2022;4;793577
2023-Q1;2023;1;722500.8
2023-Q2;2023;2;744773.4
2023-Q3;2023;3;760667.4
2023-Q4;2023;4;857993.4
2024-Q1;2024;1;748145
2024-Q2;2024;2;772052
2024-Q3;2024;3;807767.9
2024-Q4;2024;4;921249
2025-Q1;2025;1;785342.5
2025-Q2;2025;2;816793.1
