"","TIME","YEAR","QUARTER","QGVA","CHAIN_INDEX","Q_REAL_GVA_2020_2024"
"1","1995-Q1",1995,1,185687.5,NA,247535.955153545
"2","1995-Q2",1995,2,199760.9,1.08,267338.831565829
"3","1995-Q3",1995,3,212717.6,1.06,283379.161459778
"4","1995-Q4",1995,4,227539.5,1.07,303215.702761963
"5","1996-Q1",1996,1,201061.5,0.88,266829.818430527
"6","1996-Q2",1996,2,216491.7,1.08,288176.203904969
"7","1996-Q3",1996,3,222789.2,1.03,296821.490022119
"8","1996-Q4",1996,4,231167.8,1.04,308694.349623003
"9","1997-Q1",1997,1,212303.8,0.92,283998.801653163
"10","1997-Q2",1997,2,225182.7,1.06,301038.729752353
"11","1997-Q3",1997,3,228170.3,1.01,304049.117049876
"12","1997-Q4",1997,4,255581.2,1.12,340535.011095862
"13","1998-Q1",1998,1,224077.8,0.88,299670.809764358
"14","1998-Q2",1998,2,232762.3,1.04,311657.642154933
"15","1998-Q3",1998,3,237958.1,1.02,317890.794998031
"16","1998-Q4",1998,4,267332.7,1.12,356037.690397795
"17","1999-Q1",1999,1,227499.8,0.85,302632.036838126
"18","1999-Q2",1999,2,240654.7,1.06,320789.959048413
"19","1999-Q3",1999,3,249791.5,1.04,333621.55741035
"20","1999-Q4",1999,4,287079.3,1.15,383664.791021902
"21","2000-Q1",2000,1,241076.1,0.84,322278.424458398
"22","2000-Q2",2000,2,254602.1,1.06,341615.129925902
"23","2000-Q3",2000,3,255551.6,1,341615.129925902
"24","2000-Q4",2000,4,298209.5,1.17,399689.702013305
"25","2001-Q1",2001,1,248955,0.83,331742.452671043
"26","2001-Q2",2001,2,255943.8,1.03,341694.726251175
"27","2001-Q3",2001,3,261249.3,1.02,348528.620776198
"28","2001-Q4",2001,4,297257.2,1.14,397322.627684866
"29","2002-Q1",2002,1,253144.1,0.85,337724.233532136
"30","2002-Q2",2002,2,261965.5,1.03,347855.9605381
"31","2002-Q3",2002,3,267070.7,1.02,354813.079748862
"32","2002-Q4",2002,4,300537,1.13,400938.780116214
"33","2003-Q1",2003,1,259285.7,0.86,344807.350899944
"34","2003-Q2",2003,2,270154.7,1.04,358599.644935942
"35","2003-Q3",2003,3,277745.3,1.03,369357.63428402
"36","2003-Q4",2003,4,311722.7,1.12,413680.550398102
"37","2004-Q1",2004,1,276308,0.89,368175.689854311
"38","2004-Q2",2004,2,287892.8,1.04,382902.717448484
"39","2004-Q3",2004,3,287354.5,1,382902.717448484
"40","2004-Q4",2004,4,328033.7,1.14,436509.097891271
"41","2005-Q1",2005,1,281870.8,0.86,375397.824186493
"42","2005-Q2",2005,2,300048.3,1.06,397921.693637683
"43","2005-Q3",2005,3,296505.9,0.99,393942.476701306
"44","2005-Q4",2005,4,337925.6,1.14,449094.423439489
"45","2006-Q1",2006,1,305087.9,0.9,404184.98109554
"46","2006-Q2",2006,2,315684,1.03,416310.530528406
"47","2006-Q3",2006,3,318554.7,1.01,420473.63583369
"48","2006-Q4",2006,4,352178.5,1.11,466725.735775396
"49","2007-Q1",2007,1,328059.3,0.93,434054.934271119
"50","2007-Q2",2007,2,332883.7,1.01,438395.48361383
"51","2007-Q3",2007,3,334515.9,1,438395.48361383
"52","2007-Q4",2007,4,383857,1.15,504154.806155904
"53","2008-Q1",2008,1,344849,0.9,453739.325540314
"54","2008-Q2",2008,2,350128.5,1.02,462814.11205112
"55","2008-Q3",2008,3,345085.3,0.99,458185.970930609
"56","2008-Q4",2008,4,396538.7,1.15,526913.8665702
"57","2009-Q1",2009,1,351095.8,0.89,468953.341247478
"58","2009-Q2",2009,2,354757.9,1.01,473642.874659953
"59","2009-Q3",2009,3,357475.3,1.01,478379.303406553
"60","2009-Q4",2009,4,414742.9,1.16,554919.991951601
"61","2010-Q1",2010,1,359981.9,0.87,482780.392997893
"62","2010-Q2",2010,2,366090.6,1.02,492436.000857851
"63","2010-Q3",2010,3,368878.5,1.01,497360.360866429
"64","2010-Q4",2010,4,429162.2,1.16,576938.018605058
