TIME;YEAR;QUARTER;POLAND
2017-Q1;2017;1;411240.30
2017-Q2;2017;2;421998.00
2017-Q3;2017;3;430320.30
2017-Q4;2017;4;490967.80
2018-Q1;2018;1;439707.90
2018-Q2;2018;2;452196.10
2018-Q3;2018;3;464846.40
2018-Q4;2018;4;526763.70
2019-Q1;2019;1;474780.80
2019-Q2;2019;2;489456.20
2019-Q3;2019;3;503638.80
2019-Q4;2019;4;568995.70
2020-Q1;2020;1;509709.50
2020-Q2;2020;2;473153.30
2020-Q3;2020;3;517385.40
2020-Q4;2020;4;584580.90
2021-Q1;2021;1;531027.40
2021-Q2;2021;2;548448.70
2021-Q3;2021;3;585019.90
2021-Q4;2021;4;655913.70
2022-Q1;2022;1;622993.80
2022-Q2;2022;2;647440.70
2022-Q3;2022;3;702235.00
2022-Q4;2022;4;793577.00
2023-Q1;2023;1;722500.80
2023-Q2;2023;2;744773.40
2023-Q3;2023;3;760667.40
2023-Q4;2023;4;857993.40
2024-Q1;2024;1;748145.00
2024-Q2;2024;2;772052.00
2024-Q3;2024;3;807767.90
2024-Q4;2024;4;921249.00
2025-Q1;2025;1;785342.50
2025-Q2;2025;2;816793.10
